Comparison,Expected_Overlap,Observed_Overlap,(Obs - Exp)^2/Exp
cold_0.5hr_upx.sporeUpx.,10.138068827724,6,1.68904097160537
cold_0.5hr_upx.caulonemaUpx.,18.2903303592959,22,0.752400234048679
cold_0.5hr_upx.chloronemaUpx.,6.89806744979159,19,21.2315655820702
cold_0.5hr_upx.gamUpx.,12.1238761238761,22,8.04510222802906
cold_0.5hr_upx.rhizUpx.,4.4941954597127,12,12.5355255021772
cold_4.0hr_upx.cold_0.5hr_downx.,388.10430948362,216,76.3194136706274
cold_4.0hr_upx.cold_4.0hr_downx.,371.276998863206,0,371.276998863206
cold_4.0hr_upx.drought_0.5hr_upx.,248.985497261359,2064,13230.8013172896
cold_4.0hr_upx.drought_4.0hr_upx.,355.428020255606,1501,3692.26703013376
cold_4.0hr_upx.drought_0.5hr_downx.,358.460849495332,373,0.58970707036762
cold_4.0hr_upx.drought_4hr_downx.,41.4812773433463,146,263.351663338563
cold_4.0hr_upx.salt_0.5hr_upx.,240.865341554997,1912,11594.4080149798
cold_4.0hr_upx.salt_4.0hr_upx.,248.691997657515,1556,6872.1721208831
cold_4.0hr_upx.salt_0.5hr_downx.,391.137138723346,538,55.1435746878068
cold_4.0hr_upx.salt_4hr_downx.,422.248096730855,745,246.700439552848
cold_4.0hr_upx.sporeUpx.,9.48982052430328,2,5.91132480773584
cold_4.0hr_upx.caulonemaUpx.,17.1208102242585,16,0.0733736045401901
cold_4.0hr_upx.chloronemaUpx.,6.45699128457749,15,11.3029419888028
cold_4.0hr_upx.gamUpx.,11.3486513486513,15,1.17479571484853
cold_4.0hr_upx.rhizUpx.,4.20682765510352,12,14.4368964399053
cold_0.5hr_downx.cold_4.0hr_downx.,518.611216369837,3049,12346.1799402257
cold_0.5hr_downx.drought_0.5hr_upx.,347.790657618244,306,5.02158130447052
cold_0.5hr_downx.drought_4.0hr_upx.,496.472871955631,802,188.019993123376
cold_0.5hr_downx.drought_0.5hr_downx.,500.70922181267,2701,9668.84430658134
cold_0.5hr_downx.drought_4hr_downx.,57.9423335285404,162,186.875420648221
cold_0.5hr_downx.salt_0.5hr_upx.,336.448172517138,251,21.7013816181351
cold_0.5hr_downx.salt_4.0hr_upx.,347.38068827724,588,166.669176289176
cold_0.5hr_downx.salt_0.5hr_downx.,546.352475111096,2878,9950.68280639723
cold_0.5hr_downx.salt_4hr_downx.,589.809225257501,2770,8058.93094024956
cold_0.5hr_downx.sporeUpx.,13.2556753591236,19,2.48929342985667
cold_0.5hr_downx.caulonemaUpx.,23.914878225223,24,0.000302979445387094
cold_0.5hr_downx.chloronemaUpx.,9.01932550208412,8,0.115199798361747
cold_0.5hr_downx.gamUpx.,15.8521478521479,2,12.1044795889767
cold_0.5hr_downx.rhizUpx.,5.87622722105481,2,2.55693609250004
cold_4.0hr_downx.drought_0.5hr_upx.,332.711254262978,197,55.3559409176864
cold_4.0hr_downx.drought_4.0hr_upx.,474.946949602122,784,201.104119186886
cold_4.0hr_downx.drought_0.5hr_downx.,478.999621068587,2799,11236.7557749513
cold_4.0hr_downx.drought_4hr_downx.,55.4300871542251,162,204.891366891715
cold_4.0hr_downx.salt_0.5hr_upx.,321.860553239864,252,15.1633893928675
cold_4.0hr_downx.salt_4.0hr_upx.,332.319060250095,504,88.6929117193247
cold_4.0hr_downx.salt_0.5hr_downx.,522.663887836302,2833,10212.4005032455
cold_4.0hr_downx.salt_4hr_downx.,564.23645320197,2721,8244.11285445917
cold_4.0hr_downx.sporeUpx.,12.6809397499053,19,3.14886145915374
cold_4.0hr_downx.caulonemaUpx.,22.8779840848806,29,1.63821596893861
cold_4.0hr_downx.chloronemaUpx.,8.6282682834407,10,0.218079438469243
cold_4.0hr_downx.gamUpx.,15.1648351648352,5,6.81338588947285
cold_4.0hr_downx.rhizUpx.,5.62144751799924,4,0.467689513280671
drought_0.5hr_upx.drought_4.0hr_upx.,318.508560405112,1482,4250.15995893107
drought_0.5hr_upx.drought_0.5hr_downx.,321.226359847049,0,321.226359847049
drought_0.5hr_upx.drought_4hr_downx.,37.1724826897241,116,167.160680043025
drought_0.5hr_upx.salt_0.5hr_upx.,215.845878259671,1797,11582.5624137644
drought_0.5hr_upx.salt_4.0hr_upx.,222.859554238865,1441,6658.30168541352
drought_0.5hr_upx.salt_0.5hr_downx.,350.508457060181,446,26.015448669935
drought_0.5hr_upx.salt_4hr_downx.,378.387819077474,654,200.751901734231
drought_0.5hr_upx.sporeUpx.,8.50408212477178,4,2.38553149993634
drought_0.5hr_upx.caulonemaUpx.,15.3424162044852,17,0.179084180909532
drought_0.5hr_upx.chloronemaUpx.,5.78628268283441,20,34.9152938157748
drought_0.5hr_upx.gamUpx.,10.1698301698302,11,0.0677673014608183
drought_0.5hr_upx.rhizUpx.,3.76985083881636,9,7.25611208978726
drought_4.0hr_upx.drought_0.5hr_downx.,458.552206414275,623,58.9749137326824
drought_4.0hr_upx.drought_4hr_downx.,53.0639016156258,0,53.0639016156257
drought_4.0hr_upx.salt_0.5hr_upx.,308.121051362431,1480,4457.01539764167
drought_4.0hr_upx.salt_4.0hr_upx.,318.133108271039,1593,5108.82253173715
drought_4.0hr_upx.salt_0.5hr_downx.,500.352544007716,735,110.04126842773
drought_4.0hr_upx.salt_4hr_downx.,540.150470219436,814,138.838285062623
drought_4.0hr_upx.sporeUpx.,12.139619001688,11,0.106982885445391
drought_4.0hr_upx.caulonemaUpx.,21.9013744875814,31,3.77989912286902
drought_4.0hr_upx.chloronemaUpx.,8.25994694960212,24,29.9940509958449
